Unnamed: 0,track_id,artist,song,release_date,total_weeks,peak_position,peak_streams,total_streams,release_month,release_season,first_peak_date,peak_season,language,genre,popularity,bpm,energy,danceability,loudness,valence,length,acousticness,artist_seperation,debut_position
1825,5KCbr5ndeby4y4ggthdiAb,shawn mendes,wonder,2020-10-02,8,55,22100,124208,10.0,Fall,2020-10-08,Fall,English,Pop,69.0,140.0,64.0,33.0,-5.0,13.0,173.0,13.0,69.0,55
1826,2cjIcIWyuawkw0wtKgVFxm,kuznetsky squad,рич форевер 2,2017-09-01,3,171,42142,124186,9.0,Fall,2024-10-24,Fall,Russian,,54.0,157.0,85.0,60.0,-4.0,73.0,147.0,4.0,54.0,200
1827,4cfZwGevkvumBFvHp63Quo,melovin,dreamer,2024-01-12,2,45,69558,124176,1.0,Winter,2024-02-08,Winter,English,,33.0,134.0,75.0,61.0,-7.0,34.0,180.0,9.0,33.0,45
1828,1LLUoftvmTjVNBHZoQyveF,billie eilish,the diner,2024-05-17,2,57,74414,124064,5.0,Spring,2024-05-23,Spring,English,Electronic,80.0,125.0,39.0,86.0,-10.0,66.0,186.0,24.0,80.0,57
1829,3mfER4ORePHvN35cbZ3dkV,lost frequencies,where are you now,2023-11-10,5,196,29196,123814,11.0,Fall,2022-01-20,Winter,English,Electronic,80.0,121.0,63.0,76.0,-8.0,28.0,149.0,51.0,80.0,196
1830,4IU5Xs7AXe1e17wLdQJ8Fq,noturgf,suffocation - slowed,2023-03-27,3,170,42745,123802,3.0,Spring,2024-03-28,Spring,English,,69.0,103.0,69.0,52.0,-6.0,53.0,65.0,1.0,69.0,186
1831,4Zf7vu8xsZeqOvel5fqyEK,dvrst,slapper - fast & furious: drift tape/phonk vol 1,2022-12-16,4,157,31542,123761,12.0,Winter,2023-01-12,Winter,,,53.0,90.0,98.0,72.0,-5.0,65.0,67.0,1.0,53.0,163
1832,0snQkGI5qnAmohLE7jTsTn,system of a down,toxicity,2001-09-04,3,165,43883,123722,9.0,Fall,2024-09-12,Fall,English,Rock,85.0,117.0,87.0,41.0,-4.0,48.0,219.0,0.0,85.0,190
1833,6i0V12jOa3mr6uu4WYhUBr,twenty one pilots,heathens,2016-06-16,4,158,2705,123688,6.0,Summer,2020-07-16,Summer,English,Electronic,83.0,90.0,40.0,73.0,-9.0,55.0,196.0,8.0,83.0,158
1834,34eF4BoV8FPk0uhAAoqU7h,lil nas x,sun goes down,2021-05-21,4,58,39222,123362,5.0,Spring,2021-05-27,Spring,English,Hip Hop,55.0,174.0,64.0,55.0,-7.0,15.0,168.0,8.0,55.0,58
1835,1tpgY6cqm5s0HdKwiqpliF,6ynthmane,zachem,2024-06-04,3,123,43669,123202,6.0,Summer,2024-07-04,Summer,Russian,,55.0,128.0,81.0,81.0,-2.0,34.0,113.0,20.0,55.0,151
1836,4Abu2lRnNoCXiWTSvToe8z,dead blonde,снег растаял на плечах,2024-04-05,3,155,41729,122945,4.0,Spring,2024-01-25,Winter,Russian,Pop,55.0,120.0,95.0,72.0,-4.0,75.0,149.0,0.0,55.0,155
1837,0bC7GKnxh9W9JIvJ6HVWxc,jisoo,flower,2023-03-31,3,89,47406,122907,3.0,Spring,2023-04-06,Spring,Korean,Pop,71.0,124.0,39.0,84.0,-8.0,64.0,174.0,3.0,71.0,89
1838,24WBge8e53iDTeXOtVB02s,pxlwyse,eu sento gabu!,2024-04-19,3,170,42173,122760,4.0,Spring,2024-10-24,Fall,Catalan,Electronic,76.0,130.0,88.0,57.0,-4.0,73.0,84.0,0.0,76.0,170
1839,3J8EOeKLTLXORtWPpOU5bE,lil tjay,calling my phone,2021-04-02,6,78,23191,122700,4.0,Spring,2021-02-25,Winter,English,Hip Hop,76.0,105.0,39.0,91.0,-8.0,20.0,205.0,45.0,76.0,94
1840,2TNv2GxMpIO8AyPiD7TLxj,ogryzek,aura,2024-07-12,3,161,40216,122696,7.0,Summer,2024-09-05,Fall,,,78.0,180.0,77.0,35.0,-5.0,31.0,116.0,0.0,78.0,168
1841,4ROSqKLocY4or8nvjlJ6AQ,krbk,пальма,2020-03-03,3,188,41090,122328,3.0,Spring,2024-03-21,Spring,Russian,,47.0,100.0,65.0,89.0,-7.0,28.0,120.0,19.0,47.0,188
1842,3MKXCPUb89kf3lOWjpTcBY,atl,ящик,2021-11-26,3,54,49258,122104,11.0,Fall,2021-11-25,Fall,Russian,Hip Hop,40.0,88.0,67.0,86.0,-9.0,18.0,207.0,14.0,40.0,54
1843,,pharaoh,соната ей,,3,54,45421,120951,,,2022-12-01,Winter,Russian,Hip Hop,,,,,,,,,,55
1844,3Ua0m0YmEjrMi9XErKcNiR,jimin,like crazy,2023-03-24,3,99,44706,120863,3.0,Spring,2023-03-30,Spring,English,Hip Hop,77.0,120.0,73.0,63.0,-5.0,36.0,212.0,0.0,77.0,99
1845,1CsMKhwEmNnmvHUuO5nryA,billie eilish,skinny,2024-05-17,2,50,79161,120807,5.0,Spring,2024-05-23,Spring,English,Electronic,81.0,70.0,25.0,25.0,-14.0,4.0,220.0,69.0,81.0,50
